"acousticness" "danceability" "energy" "instrumentalness" "key" "liveness" "loudness" "mode" "speechiness" "tempo" "time_signature" "valence" "duration" "rd_year" "chart_random"
"1900" -0.935117160937705 1.32758494265124 0.0803197807851886 1.57744974591256 -0.0751059802641723 -0.531040851802031 0.147437086798923 -1.50476577150315 -0.372170175215054 -0.559501928082731 0.238379751625279 0.987817660987661 0.161236233493731 -0.776860092354333 1
"2307" -0.903819466367715 -0.103859888766891 1.11000457076389 -0.535402409878858 0.485529311509466 -0.656384879181065 0.924789183801898 0.664303051205164 0.155426775349124 1.04696006606326 0.238379751625279 -0.219498220206572 0.565672659957554 -2.71418539068978 1
"2004" -0.440789087822908 0.979105863841582 -0.373952920676003 -0.529202739012784 -1.19637656381145 -0.83324015068847 -0.0874366798491865 0.664303051205164 -0.435699624537575 -0.25690680335127 0.238379751625279 -0.494722205281246 0.484641325055635 -0.93830386721562 1
"2333" -0.549014760635024 1.29005642647174 -0.809297592909646 -0.535442567188902 1.32648224916992 -0.864146897165492 -0.644594620619559 0.664303051205164 -0.377010514211056 -0.122211250934575 0.238379751625279 1.48322083412207 -0.642059841708084 -0.292528767770471 1
"1202" -1.03162009212245 -2.07142637989219 1.09107654153634 0.888597427459891 0.485529311509466 -0.496700022383118 0.621521777717905 0.664303051205164 -0.225144878211504 1.08169550826271 0.238379751625279 -1.03049156289328 -0.38582988454849 0.514690106535965 0
"438" -1.03135991175497 -0.345114635635115 1.27278562212082 2.30337035055999 0.485529311509466 -0.490976550813299 0.340774228521337 -1.50476577150315 -0.362489497223051 0.0448181950725882 0.238379751625279 0.727272288450304 0.354036346089027 0.918299543689183 0
"855" 1.60672364105495 -1.20827050776365 -2.01425593353546 2.02844722794884 -1.19637656381145 -0.647799671826337 -2.53726348169161 0.664303051205164 -0.366119751470052 -0.376322937806485 2.21986443784802 -1.78644010856505 0.422219827755418 0.676133881397252 0
"1339" -0.843856593593435 1.74575983722283 0.61030459915658 -0.535442567188902 1.60679989505674 -0.643793241727464 1.15048819394032 -1.50476577150315 -0.249346573191513 -0.616060138076821 0.238379751625279 1.27038095233099 -0.0889985161229633 0.83757765625854 1
"1912" -1.00932487226861 0.469790287119775 0.947223519406964 -0.53514015175403 1.60679989505674 -0.267761159590361 0.277718629236546 -1.50476577150315 -0.263867590179517 -0.52560180713858 0.238379751625279 0.481405528450263 -0.0263506551512181 -0.776860092354333 1
"2600" 1.1767459679906 -0.859791428953993 -0.960721826730043 -0.535071884326954 -0.916058917924629 0.482013616055917 -0.015206324054704 0.664303051205164 -0.401817251565564 0.201127684970103 0.238379751625279 -0.377293304982718 -0.644529263579301 0.19180255681339 1
"91" 1.65059891381662 -0.0716925891844615 -1.07807560794085 2.2261447543209 -1.47669420969827 -0.456635721394385 -1.36356190346995 -1.50476577150315 -0.168270895008485 1.57477868425427 0.238379751625279 -1.6532316997889 -0.697978528080762 0.918299543689183 0
"400" -0.8140214081155 0.351843521984199 0.871511402496765 2.22923377817047 -0.916058917924629 -0.782301253717081 0.309580056388385 -1.50476577150315 -0.308035683518032 1.92463907001463 0.238379751625279 0.657548878898053 0.813712367910944 0.756855768827896 0
"1930" 0.837443858633697 0.448345420731488 -0.688158205853328 -0.535192665159472 1.60679989505674 -0.746243382827222 0.116576542175414 0.664303051205164 -0.424808861796572 0.0403631483776686 0.238379751625279 -0.990125378415658 0.749143845483808 -0.93830386721562 1
